"Goiaba"; "Vermelho muito boa"; 200; 7.98; true
"Tênis Jordan"; "Tênis Jordan Tatum 1 Masculino"; 15; 702.99 ; true
"Protetor Solar"; "NIVEA SUN Protetor Solar Protect & Bronze FPS 30 200ml"; 250; 39.99; false
"Xbox Series S"; "Console Xbox Series S 500gb Ssd"; 10; 2699.99; false
"Smartphone Samsung Galaxy S21"; "Smartphone Samsung Galaxy S21 128GB"; 50; 3999.99; true
"Notebook Dell Inspiron"; "Notebook Dell Inspiron 15 3000"; 30; 3499.99; true
"Fone de Ouvido JBL"; "Fone de Ouvido JBL Tune 500BT"; 100; 199.99; true
"Smart TV LG"; "Smart TV LG 55 4K UHD"; 20; 2999.99; false
"Mouse Gamer Logitech"; "Mouse Gamer Logitech G502 Hero"; 75; 249.99; true
"Teclado Mecânico Razer"; "Teclado Mecânico Razer BlackWidow"; 40; 699.99; true
"Monitor Samsung"; "Monitor Samsung 24 Full HD"; 60; 899.99; true"
"Impressora HP"; "Impressora Multifuncional HP DeskJet 2776"; 25; 499.99; false
"Tablet Apple iPad"; "Tablet Apple iPad 8ª Geração 32GB"; 15; 3299.99; true
"Caixa de Som Bluetooth Sony"; "Caixa de Som Bluetooth Sony SRS-XB12"; 80; 299.99; true
"Smartphone Apple iPhone 13"; "Smartphone Apple iPhone 13 128GB"; 25; 4999.99; true
"Notebook Acer Aspire 5"; "Notebook Acer Aspire 5 A515-54G"; 35; 2999.99; true
"Fone de Ouvido Sony"; "Fone de Ouvido Sony WH-1000XM4"; 50; 1499.99; true
"Smart TV Samsung"; "Smart TV Samsung 50 4K UHD"; 15; 2799.99; false
"Mouse Microsoft"; "Mouse Microsoft Bluetooth Ergonomic"; 60; 199.99; true
"Teclado Logitech"; "Teclado Logitech K380"; 45; 249.99; true
"Impressora Epson"; "Impressora Multifuncional Epson EcoTank L3150"; 20; 999.99; false
"Tablet Samsung Galaxy Tab"; "Tablet Samsung Galaxy Tab S6 Lite"; 18; 2499.99; true
"Caixa de Som JBL"; "Caixa de Som JBL Flip 5"; 70; 499.99; true
"Smartwatch Apple Watch"; "Smartwatch Apple Watch Series 6"; 22; 3999.99; true
"Camera Canon"; "Camera Canon EOS Rebel T7"; 12; 2999.99; false
"Headset HyperX"; "Headset HyperX Cloud Stinger"; 55; 299.99; true
"Notebook Lenovo"; "Notebook Lenovo Ideapad S145"; 40; 2499.99; true
"Smartphone Xiaomi"; "Smartphone Xiaomi Redmi Note 10"; 50; 1999.99; true
"Smart TV Philips"; "Smart TV Philips 43 Full HD"; 25; 1999.99; false"
"Mouse Razer"; "Mouse Razer DeathAdder V2"; 65; 349.99; true
"Teclado Corsair"; "Teclado Corsair K95 RGB"; 30; 799.99; true
"Monitor Dell"; "Monitor Dell 27 Full HD"; 40; 1499.99; true"
"Impressora Brother"; "Impressora Multifuncional Brother DCP-L2552DW"; 15; 1299.99; false
"Tablet Huawei"; "Tablet Huawei MediaPad T5"; 20; 1499.99; true
"Caixa de Som Bose"; "Caixa de Som Bose SoundLink"; 35; 999.99; true
"Smartphone Motorola"; "Smartphone Motorola Moto G9"; 45; 1499.99; true
"Notebook HP"; "Notebook HP Pavilion 15"; 30; 3499.99; true
"Smart TV Sony"; "Smart TV Sony 55 4K UHD"; 18; 3999.99; false"
"Mouse SteelSeries"; "Mouse SteelSeries Rival 3"; 50; 299.99; true
"Teclado Microsoft"; "Teclado Microsoft Surface"; 25; 399.99; true
"Monitor AOC"; "Monitor AOC 24 Full HD"; 35; 899.99; true"
"Impressora Canon"; "Impressora Multifuncional Canon G3110"; 20; 799.99; false
"Tablet Lenovo"; "Tablet Lenovo Tab M10"; 25; 1299.99; true
"Caixa de Som Ultimate Ears"; "Caixa de Som Ultimate Ears Boom 3"; 40; 799.99; true
"Smartphone OnePlus"; "Smartphone OnePlus 8T"; 30; 2999.99; true
"Notebook Asus"; "Notebook Asus VivoBook 15"; 35; 2799.99; true
"Smart TV TCL"; "Smart TV TCL 50 4K UHD"; 20; 2499.99; false"
"Mouse HP"; "Mouse HP X200"; 60; 149.99; true
"Teclado Redragon"; "Teclado Redragon Kumara"; 45; 299.99; true
"Monitor Philips"; "Monitor Philips 27 Full HD"; 30; 1299.99; true
"Impressora Samsung"; "Impressora Multifuncional Samsung Xpress"; 15; 699.99; false
"Tablet Amazon"; "Tablet Amazon Fire HD 10"; 20; 999.99; true
"Caixa de Som Harman Kardon"; "Caixa de Som Harman Kardon Onyx Studio 6"; 35; 1299.99; true
"Smartphone Google"; "Smartphone Google Pixel 5"; 25; 3499.99; true
"Notebook Samsung"; "Notebook Samsung Galaxy Book S"; 30; 3999.99; true
"Smart TV Panasonic"; "Smart TV Panasonic 55 4K UHD"; 18; 3499.99; false
"Mouse Corsair"; "Mouse Corsair Harpoon RGB"; 50; 249.99; true
"Teclado HyperX"; "Teclado HyperX Alloy FPS"; 25; 499.99; true
"Monitor BenQ"; "Monitor BenQ 27 4K UHD"; 30; 1999.99; true
"Impressora Lexmark"; "Impressora Multifuncional Lexmark MB2236adw"; 15; 1199.99; false
"Tablet Microsoft Surface"; "Tablet Microsoft Surface Go 2"; 20; 2999.99; true
"Caixa de Som Anker"; "Caixa de Som Anker Soundcore"; 40; 599.99; true